city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
London,2016-06-15,25,25,21.0,26.1,3.9,pm25
New York,2016-06-15,20,20,,,,pm25
Delhi,2016-06-16,306,306,,,,pm25
London,2016-06-16,25,25,21.0,26.1,3.9,pm25
New York,2016-06-16,20,20,,,,pm25
Delhi,2016-06-17,306,306,,,,pm25
London,2016-06-17,25,25,21.0,26.1,3.9,pm25
New York,2016-06-17,20,20,,,,pm25
Delhi,2016-06-18,306,306,,,,pm25
London,2016-06-18,25,25,21.0,26.1,3.9,pm25
New York,2016-06-18,20,20,,,,pm25
Delhi,2016-06-19,306,306,,,,pm25
London,2016-06-19,25,25,21.0,26.1,3.9,pm25
New York,2016-06-19,20,20,,,,pm25
Delhi,2016-06-20,306,306,,,,pm25
London,2016-06-20,25,25,21.0,26.1,3.9,pm25
New York,2016-06-20,20,20,,,,pm25
Delhi,2016-06-21,306,306,,,,pm25
London,2016-06-21,25,25,21.0,26.1,3.9,pm25
New York,2016-06-21,20,20,,,,pm25
Delhi,2016-06-22,306,306,,,,pm25
London,2016-06-22,25,25,21.0,26.1,3.9,pm25
New York,2016-06-22,20,20,,,,pm25
Delhi,2016-06-23,306,306,,,,pm25
London,2016-06-23,25,25,21.0,26.1,3.9,pm25
New York,2016-06-23,20,20,,,,pm25
Delhi,2016-06-24,306,306,,,,pm25
London,2016-06-24,25,25,21.0,26.1,3.9,pm25
New York,2016-06-24,20,20,,,,pm25
Delhi,2016-06-25,306,306,,,,pm25
London,2016-06-25,25,25,21.0,26.1,3.9,pm25
New York,2016-06-25,20,20,,,,pm25
Delhi,2016-06-26,306,306,,,,pm25
London,2016-06-26,25,25,21.0,26.1,3.9,pm25
New York,2016-06-26,20,20,,,,pm25
Delhi,2016-06-27,306,306,,,,pm25
London,2016-06-27,25,25,21.0,26.1,3.9,pm25
New York,2016-06-27,20,20,,,,pm25
Delhi,2016-06-28,306,306,,,,pm25
London,2016-06-28,25,25,21.0,26.1,3.9,pm25
New York,2016-06-28,20,20,,,,pm25
Delhi,2016-06-29,306,306,,,,pm25
London,2016-06-29,25,25,21.0,26.1,3.9,pm25
New York,2016-06-29,20,20,,,,pm25
Delhi,2016-06-30,306,306,,,,pm25
London,2016-06-30,25,25,21.0,26.1,3.9,pm25
New York,2016-06-30,20,20,,,,pm25
Delhi,2016-07-01,306,306,,,,pm25
London,2016-07-01,25,25,21.0,26.1,3.9,pm25
New York,2016-07-01,20,20,,,,pm25
Delhi,2016-07-02,306,306,,,,pm25
London,2016-07-02,25,25,21.0,26.1,3.9,pm25
New York,2016-07-02,20,20,,,,pm25
Delhi,2016-07-03,306,306,,,,pm25
London,2016-07-03,25,25,21.0,26.1,3.9,pm25
New York,2016-07-03,20,20,,,,pm25
Delhi,2016-07-04,306,306,,,,pm25
London,2016-07-04,25,25,21.0,26.1,3.9,pm25
New York,2016-07-04,20,20,,,,pm25
Delhi,2016-07-05,306,306,,,,pm25
London,2016-07-05,25,25,21.0,26.1,3.9,pm25
New York,2016-07-05,20,20,,,,pm25
Delhi,2016-07-06,306,306,,,,pm25
London,2016-07-06,25,25,21.0,26.1,3.9,pm25
New York,2016-07-06,20,20,,,,pm25
Delhi,2016-07-07,306,306,,,,pm25
London,2016-07-07,25,25,21.0,26.1,3.9,pm25
New York,2016-07-07,20,20,,,,pm25
Delhi,2016-07-08,306,306,,,,pm25
London,2016-07-08,25,25,21.0,26.1,3.9,pm25
New York,2016-07-08,20,20,,,,pm25
Delhi,2016-07-09,306,306,,,,pm25
London,2016-07-09,25,25,21.0,26.1,3.9,pm25
New York,2016-07-09,20,20,,,,pm25
Delhi,2016-07-10,306,306,,,,pm25
London,2016-07-10,25,25,21.0,26.1,3.9,pm25
New York,2016-07-10,20,20,,,,pm25
Delhi,2016-07-11,306,306,,,,pm25
London,2016-07-11,25,25,21.0,26.1,3.9,pm25
New York,2016-07-11,20,20,,,,pm25
Delhi,2016-07-12,306,306,,,,pm25
London,2016-07-12,25,25,21.0,26.1,3.9,pm25
New York,2016-07-12,20,20,,,,pm25
Delhi,2016-07-13,306,306,,,,pm25
London,2016-07-13,25,25,21.0,26.1,3.9,pm25
New York,2016-07-13,20,20,,,,pm25
Delhi,2016-07-14,306,306,,,,pm25
London,2016-07-14,25,25,21.0,26.1,3.9,pm25
New York,2016-07-14,20,20,,,,pm25
Delhi,2016-07-15,306,306,,,,pm25
London,2016-07-15,25,25,21.0,26.1,3.9,pm25
New York,2016-07-15,20,20,,,,pm25
Delhi,2016-07-16,306,306,,,,pm25
London,2016-07-16,25,25,21.0,26.1,3.9,pm25
New York,2016-07-16,20,20,,,,pm25
Delhi,2016-07-17,306,306,,,,pm25
London,2016-07-17,25,25,21.0,26.1,3.9,pm25
New York,2016-07-17,20,20,,,,pm25
Delhi,2016-07-18,306,306,,,,pm25
London,2016-07-18,25,25,21.0,26.1,3.9,pm25
New York,2016-07-18,20,20,,,,pm25
Delhi,2016-07-19,306,306,,,,pm25
London,2016-07-19,25,25,21.0,26.1,3.9,pm25
New York,2016-07-19,20,20,,,,pm25
Delhi,2016-07-20,306,306,,,,pm25
London,2016-07-20,25,25,21.0,26.1,3.9,pm25
New York,2016-07-20,20,20,,,,pm25
Delhi,2016-07-21,306,306,,,,pm25
London,2016-07-21,25,25,21.0,26.1,3.9,pm25
New York,2016-07-21,20,20,,,,pm25
Delhi,2016-07-22,306,306,,,,pm25
London,2016-07-22,25,25,21.0,26.1,3.9,pm25
New York,2016-07-22,20,20,,,,pm25
Delhi,2016-07-23,306,306,,,,pm25
London,2016-07-23,25,25,21.0,26.1,3.9,pm25
New York,2016-07-23,20,20,,,,pm25
Delhi,2016-07-24,306,306,,,,pm25
London,2016-07-24,25,25,21.0,26.1,3.9,pm25
New York,2016-07-24,20,20,,,,pm25
Delhi,2016-07-25,306,306,,,,pm25
London,2016-07-25,25,25,21.0,26.1,3.9,pm25
New York,2016-07-25,20,20,,,,pm25
Delhi,2016-07-26,306,306,,,,pm25
London,2016-07-26,25,25,21.0,26.1,3.9,pm25
New York,2016-07-26,20,20,,,,pm25
Delhi,2016-07-27,306,306,,,,pm25
London,2016-07-27,25,25,21.0,26.1,3.9,pm25
New York,2016-07-27,20,20,,,,pm25
Delhi,2016-07-28,306,306,,,,pm25
London,2016-07-28,25,25,21.0,26.1,3.9,pm25
New York,2016-07-28,20,20,,,,pm25
Delhi,2016-07-29,306,306,,,,pm25
London,2016-07-29,25,25,21.0,26.1,3.9,pm25
New York,2016-07-29,20,20,,,,pm25
Delhi,2016-07-30,306,306,,,,pm25
London,2016-07-30,25,25,21.0,26.1,3.9,pm25
New York,2016-07-30,20,20,,,,pm25
Delhi,2016-07-31,306,306,,,,pm25
London,2016-07-31,25,25,21.0,26.1,3.9,pm25
New York,2016-07-31,20,20,,,,pm25
Delhi,2016-08-01,306,306,,,,pm25
London,2016-08-01,25,25,21.0,26.1,3.9,pm25
New York,2016-08-01,20,20,,,,pm25
Delhi,2016-08-02,306,306,,,,pm25
London,2016-08-02,25,25,21.0,26.1,3.9,pm25
New York,2016-08-02,20,20,,,,pm25
Delhi,2016-08-03,306,306,,,,pm25
London,2016-08-03,25,25,21.0,26.1,3.9,pm25
New York,2016-08-03,20,20,,,,pm25
Delhi,2016-08-04,306,306,,,,pm25
London,2016-08-04,25,25,21.0,26.1,3.9,pm25
New York,2016-08-04,20,20,,,,pm25
Delhi,2016-08-05,306,306,,,,pm25
London,2016-08-05,25,25,21.0,26.1,3.9,pm25
New York,2016-08-05,20,20,,,,pm25
Delhi,2016-08-06,306,306,,,,pm25
London,2016-08-06,25,25,21.0,26.1,3.9,pm25
New York,2016-08-06,20,20,,,,pm25
Delhi,2016-08-07,306,306,,,,pm25
London,2016-08-07,25,25,21.0,26.1,3.9,pm25
New York,2016-08-07,20,20,,,,pm25
Delhi,2016-08-08,306,306,,,,pm25
London,2016-08-08,25,25,21.0,26.1,3.9,pm25
New York,2016-08-08,20,20,,,,pm25
Delhi,2016-08-09,306,306,,,,pm25
London,2016-08-09,25,25,21.0,26.1,3.9,pm25
New York,2016-08-09,20,20,,,,pm25
Delhi,2016-08-10,306,306,,,,pm25
London,2016-08-10,25,25,21.0,26.1,3.9,pm25
New York,2016-08-10,20,20,,,,pm25
Delhi,2016-08-11,306,306,,,,pm25
London,2016-08-11,25,25,21.0,26.1,3.9,pm25
New York,2016-08-11,20,20,,,,pm25
Delhi,2016-08-12,306,306,,,,pm25
London,2016-08-12,25,25,21.0,26.1,3.9,pm25
New York,2016-08-12,20,20,,,,pm25
Delhi,2016-08-13,306,306,,,,pm25
London,2016-08-13,25,25,21.0,26.1,3.9,pm25
New York,2016-08-13,20,20,,,,pm25
Delhi,2016-08-14,306,306,,,,pm25
London,2016-08-14,25,25,21.0,26.1,3.9,pm25
New York,2016-08-14,20,20,,,,pm25
Delhi,2016-08-15,306,306,,,,pm25
London,2016-08-15,25,25,21.0,26.1,3.9,pm25
New York,2016-08-15,20,20,,,,pm25
Delhi,2016-08-16,306,306,,,,pm25
London,2016-08-16,25,25,21.0,26.1,3.9,pm25
New York,2016-08-16,20,20,,,,pm25
Delhi,2016-08-17,306,306,,,,pm25
London,2016-08-17,25,25,21.0,26.1,3.9,pm25
New York,2016-08-17,20,20,,,,pm25
Delhi,2016-08-18,306,306,,,,pm25
London,2016-08-18,25,25,21.0,26.1,3.9,pm25
New York,2016-08-18,20,20,,,,pm25
Delhi,2016-08-19,306,306,,,,pm25
London,2016-08-19,25,25,21.0,26.1,3.9,pm25
New York,2016-08-19,20,20,,,,pm25
Delhi,2016-08-20,306,306,,,,pm25
London,2016-08-20,25,25,21.0,26.1,3.9,pm25
New York,2016-08-20,20,20,,,,pm25
Delhi,2016-08-21,306,306,,,,pm25
London,2016-08-21,25,25,21.0,26.1,3.9,pm25
New York,2016-08-21,20,20,,,,pm25
Delhi,2016-08-22,306,306,,,,pm25
London,2016-08-22,25,25,21.0,26.1,3.9,pm25
New York,2016-08-22,20,20,,,,pm25
Delhi,2016-08-23,306,306,,,,pm25
London,2016-08-23,25,25,21.0,26.1,3.9,pm25
New York,2016-08-23,20,20,,,,pm25
Delhi,2016-08-24,306,306,,,,pm25
London,2016-08-24,25,25,21.0,26.1,3.9,pm25
New York,2016-08-24,20,20,,,,pm25
Delhi,2016-08-25,306,306,,,,pm25
London,2016-08-25,25,25,21.0,26.1,3.9,pm25
New York,2016-08-25,20,20,,,,pm25
Delhi,2016-08-26,306,306,,,,pm25
London,2016-08-26,25,25,21.0,26.1,3.9,pm25
New York,2016-08-26,20,20,,,,pm25
Delhi,2016-08-27,306,306,,,,pm25
London,2016-08-27,25,25,21.0,26.1,3.9,pm25
New York,2016-08-27,20,20,,,,pm25
Delhi,2016-08-28,306,306,,,,pm25
London,2016-08-28,25,25,21.0,26.1,3.9,pm25
New York,2016-08-28,20,20,,,,pm25
Delhi,2016-08-29,306,306,,,,pm25
London,2016-08-29,25,25,21.0,26.1,3.9,pm25
New York,2016-08-29,20,20,,,,pm25
Delhi,2016-08-30,306,306,,,,pm25
London,2016-08-30,25,25,21.0,26.1,3.9,pm25
New York,2016-08-30,20,20,,,,pm25
Delhi,2016-08-31,306,306,,,,pm25
London,2016-08-31,25,25,21.0,26.1,3.9,pm25
New York,2016-08-31,20,20,,,,pm25
Delhi,2016-09-01,306,306,,,,pm25
London,2016-09-01,25,25,21.0,26.1,3.9,pm25
New York,2016-09-01,20,20,,,,pm25
Delhi,2016-09-02,306,306,,,,pm25
London,2016-09-02,25,25,21.0,26.1,3.9,pm25
New York,2016-09-02,20,20,,,,pm25
Delhi,2016-09-03,306,306,,,,pm25
London,2016-09-03,25,25,21.0,26.1,3.9,pm25
New York,2016-09-03,20,20,,,,pm25
Delhi,2016-09-04,306,306,,,,pm25
London,2016-09-04,25,25,21.0,26.1,3.9,pm25
New York,2016-09-04,20,20,,,,pm25
Delhi,2016-09-05,306,306,,,,pm25
London,2016-09-05,25,25,21.0,26.1,3.9,pm25
New York,2016-09-05,20,20,,,,pm25
Delhi,2016-09-06,306,306,,,,pm25
London,2016-09-06,25,25,21.0,26.1,3.9,pm25
New York,2016-09-06,20,20,,,,pm25
Delhi,2016-09-07,306,306,,,,pm25
London,2016-09-07,25,25,21.0,26.1,3.9,pm25
New York,2016-09-07,20,20,,,,pm25
Delhi,2016-09-08,306,306,,,,pm25
London,2016-09-08,25,25,21.0,26.1,3.9,pm25
New York,2016-09-08,20,20,,,,pm25
Delhi,2016-09-09,306,306,,,,pm25
London,2016-09-09,25,25,21.0,26.1,3.9,pm25
New York,2016-09-09,20,20,,,,pm25
Delhi,2016-09-10,306,306,,,,pm25
London,2016-09-10,25,25,21.0,26.1,3.9,pm25
New York,2016-09-10,20,20,,,,pm25
Delhi,2016-09-11,306,306,,,,pm25
London,2016-09-11,25,25,21.0,26.1,3.9,pm25
New York,2016-09-11,20,20,,,,pm25
Delhi,2016-09-12,306,306,,,,pm25
London,2016-09-12,25,25,21.0,26.1,3.9,pm25
New York,2016-09-12,20,20,,,,pm25
Delhi,2016-09-13,306,306,,,,pm25
London,2016-09-13,25,25,21.0,26.1,3.9,pm25
New York,2016-09-13,20,20,,,,pm25
Delhi,2016-09-14,306,306,,,,pm25
London,2016-09-14,25,25,21.0,26.1,3.9,pm25
New York,2016-09-14,20,20,,,,pm25
Delhi,2016-09-15,306,306,,,,pm25
London,2016-09-15,25,25,21.0,26.1,3.9,pm25
New York,2016-09-15,20,20,,,,pm25
Delhi,2016-09-16,306,306,,,,pm25
London,2016-09-16,25,25,21.0,26.1,3.9,pm25
New York,2016-09-16,20,20,,,,pm25
Delhi,2016-09-17,306,306,,,,pm25
London,2016-09-17,25,25,21.0,26.1,3.9,pm25
New York,2016-09-17,20,20,,,,pm25
Delhi,2016-09-18,306,306,,,,pm25
London,2016-09-18,25,25,21.0,26.1,3.9,pm25
New York,2016-09-18,20,20,,,,pm25
Delhi,2016-09-19,306,306,,,,pm25
London,2016-09-19,25,25,21.0,26.1,3.9,pm25
New York,2016-09-19,20,20,,,,pm25
Delhi,2016-09-20,306,306,,,,pm25
London,2016-09-20,25,25,21.0,26.1,3.9,pm25
New York,2016-09-20,20,20,,,,pm25
Delhi,2016-09-21,306,306,,,,pm25
London,2016-09-21,25,25,21.0,26.1,3.9,pm25
New York,2016-09-21,20,20,,,,pm25
Delhi,2016-09-22,306,306,,,,pm25
London,2016-09-22,25,25,21.0,26.1,3.9,pm25
New York,2016-09-22,20,20,,,,pm25
Delhi,2016-09-23,306,306,,,,pm25
London,2016-09-23,25,25,21.0,26.1,3.9,pm25
New York,2016-09-23,20,20,,,,pm25
Delhi,2016-09-24,306,306,,,,pm25
London,2016-09-24,25,25,21.0,26.1,3.9,pm25
New York,2016-09-24,20,20,,,,pm25
Delhi,2016-09-25,306,306,,,,pm25
London,2016-09-25,25,25,21.0,26.1,3.9,pm25
New York,2016-09-25,20,20,,,,pm25
Delhi,2016-09-26,306,306,,,,pm25
London,2016-09-26,25,25,21.0,26.1,3.9,pm25
New York,2016-09-26,20,20,,,,pm25
Delhi,2016-09-27,306,306,,,,pm25
London,2016-09-27,25,25,21.0,26.1,3.9,pm25
New York,2016-09-27,20,20,,,,pm25
Delhi,2016-09-28,306,306,,,,pm25
London,2016-09-28,25,25,21.0,26.1,3.9,pm25
New York,2016-09-28,20,20,,,,pm25
Delhi,2016-09-29,306,306,,,,pm25
London,2016-09-29,25,25,21.0,26.1,3.9,pm25
New York,2016-09-29,20,20,,,,pm25
Delhi,2016-09-30,306,306,,,,pm25
London,2016-09-30,25,25,21.0,26.1,3.9,pm25
New York,2016-09-30,20,20,,,,pm25
Delhi,2016-10-01,306,306,,,,pm25
London,2016-10-01,25,25,21.0,26.1,3.9,pm25
New York,2016-10-01,20,20,,,,pm25
Delhi,2016-10-02,306,306,,,,pm25
London,2016-10-02,25,25,21.0,26.1,3.9,pm25
New York,2016-10-02,20,20,,,,pm25
Delhi,2016-10-03,306,306,,,,pm25
London,2016-10-03,25,25,21.0,26.1,3.9,pm25
New York,2016-10-03,20,20,,,,pm25
Delhi,2016-10-04,306,306,,,,pm25
London,2016-10-04,25,25,21.0,26.1,3.9,pm25
New York,2016-10-04,20,20,,,,pm25
Delhi,2016-10-05,306,306,,,,pm25
London,2016-10-05,25,25,21.0,26.1,3.9,pm25
New York,2016-10-05,20,20,,,,pm25
Delhi,2016-10-06,306,306,,,,pm25
London,2016-10-06,25,25,21.0,26.1,3.9,pm25
New York,2016-10-06,20,20,,,,pm25
Delhi,2016-10-07,306,306,,,,pm25
London,2016-10-07,25,25,21.0,26.1,3.9,pm25
New York,2016-10-07,20,20,,,,pm25
Delhi,2016-10-08,306,306,,,,pm25
London,2016-10-08,25,25,21.0,26.1,3.9,pm25
New York,2016-10-08,20,20,,,,pm25
Delhi,2016-10-09,306,306,,,,pm25
London,2016-10-09,25,25,21.0,26.1,3.9,pm25
New York,2016-10-09,20,20,,,,pm25
Delhi,2016-10-10,306,306,,,,pm25
London,2016-10-10,25,25,21.0,26.1,3.9,pm25
New York,2016-10-10,20,20,,,,pm25
Delhi,2016-10-11,306,306,,,,pm25
London,2016-10-11,25,25,21.0,26.1,3.9,pm25
New York,2016-10-11,20,20,,,,pm25
Delhi,2016-10-12,306,306,,,,pm25
London,2016-10-12,25,25,21.0,26.1,3.9,pm25
New York,2016-10-12,20,20,,,,pm25
Delhi,2016-10-13,306,306,,,,pm25
London,2016-10-13,25,25,21.0,26.1,3.9,pm25
New York,2016-10-13,20,20,,,,pm25
Delhi,2016-10-14,306,306,,,,pm25
London,2016-10-14,25,25,21.0,26.1,3.9,pm25
New York,2016-10-14,20,20,,,,pm25
Delhi,2016-10-15,306,306,,,,pm25
London,2016-10-15,25,25,21.0,26.1,3.9,pm25
New York,2016-10-15,20,20,,,,pm25
Delhi,2016-10-16,306,306,,,,pm25
London,2016-10-16,25,25,21.0,26.1,3.9,pm25
New York,2016-10-16,20,20,,,,pm25
Delhi,2016-10-17,306,306,,,,pm25
London,2016-10-17,25,25,21.0,26.1,3.9,pm25
New York,2016-10-17,20,20,,,,pm25
Delhi,2016-10-18,306,306,,,,pm25
London,2016-10-18,25,25,21.0,26.1,3.9,pm25
New York,2016-10-18,20,20,,,,pm25
Delhi,2016-10-19,306,306,,,,pm25
London,2016-10-19,25,25,21.0,26.1,3.9,pm25
New York,2016-10-19,20,20,,,,pm25
Delhi,2016-10-20,306,306,,,,pm25
London,2016-10-20,25,25,21.0,26.1,3.9,pm25
New York,2016-10-20,20,20,,,,pm25
Delhi,2016-10-21,306,306,,,,pm25
London,2016-10-21,25,25,21.0,26.1,3.9,pm25
New York,2016-10-21,20,20,,,,pm25
Delhi,2016-10-22,306,306,,,,pm25
London,2016-10-22,25,25,21.0,26.1,3.9,pm25
New York,2016-10-22,20,20,,,,pm25
Delhi,2016-10-23,306,306,,,,pm25
London,2016-10-23,25,25,21.0,26.1,3.9,pm25
New York,2016-10-23,20,20,,,,pm25
Delhi,2016-10-24,306,306,,,,pm25
London,2016-10-24,25,25,21.0,26.1,3.9,pm25
New York,2016-10-24,20,20,,,,pm25
Delhi,2016-10-25,306,306,,,,pm25
London,2016-10-25,25,25,21.0,26.1,3.9,pm25
New York,2016-10-25,20,20,,,,pm25
Delhi,2016-10-26,306,306,,,,pm25
London,2016-10-26,25,25,21.0,26.1,3.9,pm25
New York,2016-10-26,20,20,,,,pm25
Delhi,2016-10-27,306,306,,,,pm25
London,2016-10-27,25,25,21.0,26.1,3.9,pm25
New York,2016-10-27,20,20,,,,pm25
Delhi,2016-10-28,306,306,,,,pm25
London,2016-10-28,25,25,21.0,26.1,3.9,pm25
New York,2016-10-28,20,20,,,,pm25
Delhi,2016-10-29,306,306,,,,pm25
London,2016-10-29,25,25,21.0,26.1,3.9,pm25
New York,2016-10-29,20,20,,,,pm25
Delhi,2016-10-30,306,306,,,,pm25
London,2016-10-30,25,25,21.0,26.1,3.9,pm25
New York,2016-10-30,20,20,,,,pm25
Delhi,2016-10-31,306,306,,,,pm25
London,2016-10-31,25,25,21.0,26.1,3.9,pm25
New York,2016-10-31,20,20,,,,pm25
Delhi,2016-11-01,306,306,,,,pm25
London,2016-11-01,25,25,21.0,26.1,3.9,pm25
New York,2016-11-01,20,20,,,,pm25
Delhi,2016-11-02,306,306,,,,pm25
London,2016-11-02,25,25,21.0,26.1,3.9,pm25
New York,2016-11-02,20,20,,,,pm25
Delhi,2016-11-03,306,306,,,,pm25
London,2016-11-03,25,25,21.0,26.1,3.9,pm25
New York,2016-11-03,20,20,,,,pm25
Delhi,2016-11-04,306,306,,,,pm25
London,2016-11-04,25,25,21.0,26.1,3.9,pm25
New York,2016-11-04,20,20,,,,pm25
Delhi,2016-11-05,306,306,,,,pm25
London,2016-11-05,25,25,21.0,26.1,3.9,pm25
New York,2016-11-05,20,20,,,,pm25
Delhi,2016-11-06,306,306,,,,pm25
London,2016-11-06,25,25,21.0,26.1,3.9,pm25
New York,2016-11-06,20,20,,,,pm25
Delhi,2016-11-07,306,306,,,,pm25
London,2016-11-07,25,25,21.0,26.1,3.9,pm25
New York,2016-11-07,20,20,,,,pm25
Delhi,2016-11-08,306,306,,,,pm25
London,2016-11-08,25,25,21.0,26.1,3.9,pm25
New York,2016-11-08,20,20,,,,pm25
Delhi,2016-11-09,306,306,,,,pm25
London,2016-11-09,25,25,21.0,26.1,3.9,pm25
New York,2016-11-09,20,20,,,,pm25
Delhi,2016-11-10,306,306,,,,pm25
London,2016-11-10,25,25,21.0,26.1,3.9,pm25
New York,2016-11-10,20,20,,,,pm25
Delhi,2016-11-11,306,306,,,,pm25
London,2016-11-11,25,25,21.0,26.1,3.9,pm25
New York,2016-11-11,20,20,,,,pm25
Delhi,2016-11-12,306,306,,,,pm25
London,2016-11-12,25,25,21.0,26.1,3.9,pm25
New York,2016-11-12,20,20,,,,pm25
Delhi,2016-11-13,306,306,,,,pm25
London,2016-11-13,25,25,21.0,26.1,3.9,pm25
New York,2016-11-13,20,20,,,,pm25
Delhi,2016-11-14,306,306,,,,pm25
London,2016-11-14,25,25,21.0,26.1,3.9,pm25
New York,2016-11-14,20,20,,,,pm25
Delhi,2016-11-15,306,306,,,,pm25
London,2016-11-15,25,25,21.0,26.1,3.9,pm25
New York,2016-11-15,20,20,,,,pm25
Delhi,2016-11-16,306,306,,,,pm25
London,2016-11-16,25,25,21.0,26.1,3.9,pm25
New York,2016-11-16,20,20,,,,pm25
Delhi,2016-11-17,306,306,,,,pm25
London,2016-11-17,25,25,21.0,26.1,3.9,pm25
New York,2016-11-17,20,20,,,,pm25
Delhi,2016-11-18,306,306,,,,pm25
London,2016-11-18,25,25,21.0,26.1,3.9,pm25
New York,2016-11-18,20,20,,,,pm25
Delhi,2016-11-19,306,306,,,,pm25
London,2016-11-19,25,25,21.0,26.1,3.9,pm25
New York,2016-11-19,20,20,,,,pm25
Delhi,2016-11-20,306,306,,,,pm25
London,2016-11-20,25,25,21.0,26.1,3.9,pm25
New York,2016-11-20,20,20,,,,pm25
Delhi,2016-11-21,306,306,,,,pm25
London,2016-11-21,25,25,21.0,26.1,3.9,pm25
New York,2016-11-21,20,20,,,,pm25
Delhi,2016-11-22,306,306,,,,pm25
London,2016-11-22,25,25,21.0,26.1,3.9,pm25
New York,2016-11-22,20,20,,,,pm25
Delhi,2016-11-23,306,306,,,,pm25
London,2016-11-23,25,25,21.0,26.1,3.9,pm25
New York,2016-11-23,20,20,,,,pm25
Delhi,2016-11-24,306,306,,,,pm25
London,2016-11-24,25,25,21.0,26.1,3.9,pm25
New York,2016-11-24,20,20,,,,pm25
Delhi,2016-11-25,306,306,,,,pm25
London,2016-11-25,25,25,21.0,26.1,3.9,pm25
New York,2016-11-25,20,20,,,,pm25
Delhi,2016-11-26,306,306,,,,pm25
London,2016-11-26,25,25,21.0,26.1,3.9,pm25
New York,2016-11-26,20,20,,,,pm25
Delhi,2016-11-27,306,306,,,,pm25
London,2016-11-27,25,25,21.0,26.1,3.9,pm25
New York,2016-11-27,20,20,,,,pm25
Delhi,2016-11-28,306,306,,,,pm25
London,2016-11-28,25,25,21.0,26.1,3.9,pm25
New York,2016-11-28,20,20,,,,pm25
Delhi,2016-11-29,306,306,,,,pm25
London,2016-11-29,25,25,21.0,26.1,3.9,pm25
New York,2016-11-29,20,20,,,,pm25
Delhi,2016-11-30,306,306,,,,pm25
London,2016-11-30,25,25,21.0,26.1,3.9,pm25
New York,2016-11-30,20,20,,,,pm25
Delhi,2016-12-01,306,306,,,,pm25
London,2016-12-01,25,25,21.0,26.1,3.9,pm25
New York,2016-12-01,20,20,,,,pm25
Delhi,2016-12-02,306,306,,,,pm25
London,2016-12-02,25,25,21.0,26.1,3.9,pm25
New York,2016-12-02,20,20,,,,pm25
Delhi,2016-12-03,306,306,,,,pm25
London,2016-12-03,25,25,21.0,26.1,3.9,pm25
New York,2016-12-03,20,20,,,,pm25
Delhi,2016-12-04,306,306,,,,pm25
London,2016-12-04,25,25,21.0,26.1,3.9,pm25
New York,2016-12-04,20,20,,,,pm25
Delhi,2016-12-05,306,306,,,,pm25
London,2016-12-05,25,25,21.0,26.1,3.9,pm25
New York,2016-12-05,20,20,,,,pm25
Delhi,2016-12-06,306,306,,,,pm25
London,2016-12-06,25,25,21.0,26.1,3.9,pm25
New York,2016-12-06,20,20,,,,pm25
Delhi,2016-12-07,306,306,,,,pm25
London,2016-12-07,25,25,21.0,26.1,3.9,pm25
New York,2016-12-07,20,20,,,,pm25
Delhi,2016-12-08,306,306,,,,pm25
London,2016-12-08,25,25,21.0,26.1,3.9,pm25
New York,2016-12-08,20,20,,,,pm25
Delhi,2016-12-09,306,306,,,,pm25
London,2016-12-09,25,25,21.0,26.1,3.9,pm25
New York,2016-12-09,20,20,,,,pm25
Delhi,2016-12-10,306,306,,,,pm25
London,2016-12-10,25,25,21.0,26.1,3.9,pm25
New York,2016-12-10,20,20,,,,pm25
Delhi,2016-12-11,306,306,,,,pm25
London,2016-12-11,25,25,21.0,26.1,3.9,pm25
New York,2016-12-11,20,20,,,,pm25
Delhi,2016-12-12,306,306,,,,pm25
London,2016-12-12,25,25,21.0,26.1,3.9,pm25
New York,2016-12-12,20,20,,,,pm25
Delhi,2016-12-13,306,306,,,,pm25
London,2016-12-13,25,25,21.0,26.1,3.9,pm25
New York,2016-12-13,20,20,,,,pm25
Delhi,2016-12-14,306,306,,,,pm25
London,2016-12-14,25,25,21.0,26.1,3.9,pm25
New York,2016-12-14,20,20,,,,pm25
Delhi,2016-12-15,306,306,,,,pm25
London,2016-12-15,25,25,21.0,26.1,3.9,pm25
New York,2016-12-15,20,20,,,,pm25
Delhi,2016-12-16,306,306,,,,pm25
London,2016-12-16,25,25,21.0,26.1,3.9,pm25
New York,2016-12-16,20,20,,,,pm25
Delhi,2016-12-17,306,306,,,,pm25
London,2016-12-17,25,25,21.0,26.1,3.9,pm25
New York,2016-12-17,20,20,,,,pm25
Delhi,2016-12-18,306,306,,,,pm25
London,2016-12-18,25,25,21.0,26.1,3.9,pm25
New York,2016-12-18,20,20,,,,pm25
Delhi,2016-12-19,306,306,,,,pm25
London,2016-12-19,25,25,21.0,26.1,3.9,pm25
New York,2016-12-19,20,20,,,,pm25
Delhi,2016-12-20,306,306,,,,pm25
London,2016-12-20,25,25,21.0,26.1,3.9,pm25
New York,2016-12-20,20,20,,,,pm25
Delhi,2016-12-21,306,306,,,,pm25
London,2016-12-21,25,25,21.0,26.1,3.9,pm25
New York,2016-12-21,20,20,,,,pm25
Delhi,2016-12-22,306,306,,,,pm25
London,2016-12-22,25,25,21.0,26.1,3.9,pm25
New York,2016-12-22,20,20,,,,pm25
Delhi,2016-12-23,306,306,,,,pm25
