city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
London,2010-03-02,38,38,16.0,33.0,4.4,pm25
New York,2010-03-02,33,33,,,,pm25
Delhi,2010-03-03,313,313,,,,pm25
London,2010-03-03,38,38,16.0,33.0,4.4,pm25
New York,2010-03-03,33,33,,,,pm25
Delhi,2010-03-04,313,313,,,,pm25
London,2010-03-04,38,38,16.0,33.0,4.4,pm25
New York,2010-03-04,33,33,,,,pm25
Delhi,2010-03-05,313,313,,,,pm25
London,2010-03-05,38,38,16.0,33.0,4.4,pm25
New York,2010-03-05,33,33,,,,pm25
Delhi,2010-03-06,313,313,,,,pm25
London,2010-03-06,38,38,16.0,33.0,4.4,pm25
New York,2010-03-06,33,33,,,,pm25
Delhi,2010-03-07,313,313,,,,pm25
London,2010-03-07,38,38,16.0,33.0,4.4,pm25
New York,2010-03-07,33,33,,,,pm25
Delhi,2010-03-08,313,313,,,,pm25
London,2010-03-08,38,38,16.0,33.0,4.4,pm25
New York,2010-03-08,33,33,,,,pm25
Delhi,2010-03-09,313,313,,,,pm25
London,2010-03-09,38,38,16.0,33.0,4.4,pm25
New York,2010-03-09,33,33,,,,pm25
Delhi,2010-03-10,313,313,,,,pm25
London,2010-03-10,38,38,16.0,33.0,4.4,pm25
New York,2010-03-10,33,33,,,,pm25
Delhi,2010-03-11,313,313,,,,pm25
London,2010-03-11,38,38,16.0,33.0,4.4,pm25
New York,2010-03-11,33,33,,,,pm25
Delhi,2010-03-12,313,313,,,,pm25
London,2010-03-12,38,38,16.0,33.0,4.4,pm25
New York,2010-03-12,33,33,,,,pm25
Delhi,2010-03-13,313,313,,,,pm25
London,2010-03-13,38,38,16.0,33.0,4.4,pm25
New York,2010-03-13,33,33,,,,pm25
Delhi,2010-03-14,313,313,,,,pm25
London,2010-03-14,38,38,16.0,33.0,4.4,pm25
New York,2010-03-14,33,33,,,,pm25
Delhi,2010-03-15,313,313,,,,pm25
London,2010-03-15,38,38,16.0,33.0,4.4,pm25
New York,2010-03-15,33,33,,,,pm25
Delhi,2010-03-16,313,313,,,,pm25
London,2010-03-16,38,38,16.0,33.0,4.4,pm25
New York,2010-03-16,33,33,,,,pm25
Delhi,2010-03-17,313,313,,,,pm25
London,2010-03-17,38,38,16.0,33.0,4.4,pm25
New York,2010-03-17,33,33,,,,pm25
Delhi,2010-03-18,313,313,,,,pm25
London,2010-03-18,38,38,16.0,33.0,4.4,pm25
New York,2010-03-18,33,33,,,,pm25
Delhi,2010-03-19,313,313,,,,pm25
London,2010-03-19,38,38,16.0,33.0,4.4,pm25
New York,2010-03-19,33,33,,,,pm25
Delhi,2010-03-20,313,313,,,,pm25
London,2010-03-20,38,38,16.0,33.0,4.4,pm25
New York,2010-03-20,33,33,,,,pm25
Delhi,2010-03-21,313,313,,,,pm25
London,2010-03-21,38,38,16.0,33.0,4.4,pm25
New York,2010-03-21,33,33,,,,pm25
Delhi,2010-03-22,313,313,,,,pm25
London,2010-03-22,38,38,16.0,33.0,4.4,pm25
New York,2010-03-22,33,33,,,,pm25
Delhi,2010-03-23,313,313,,,,pm25
London,2010-03-23,38,38,16.0,33.0,4.4,pm25
New York,2010-03-23,33,33,,,,pm25
Delhi,2010-03-24,313,313,,,,pm25
London,2010-03-24,38,38,16.0,33.0,4.4,pm25
New York,2010-03-24,33,33,,,,pm25
Delhi,2010-03-25,313,313,,,,pm25
London,2010-03-25,38,38,16.0,33.0,4.4,pm25
New York,2010-03-25,33,33,,,,pm25
Delhi,2010-03-26,313,313,,,,pm25
London,2010-03-26,38,38,16.0,33.0,4.4,pm25
New York,2010-03-26,33,33,,,,pm25
Delhi,2010-03-27,313,313,,,,pm25
London,2010-03-27,38,38,16.0,33.0,4.4,pm25
New York,2010-03-27,33,33,,,,pm25
Delhi,2010-03-28,313,313,,,,pm25
London,2010-03-28,38,38,16.0,33.0,4.4,pm25
New York,2010-03-28,33,33,,,,pm25
Delhi,2010-03-29,313,313,,,,pm25
London,2010-03-29,38,38,16.0,33.0,4.4,pm25
New York,2010-03-29,33,33,,,,pm25
Delhi,2010-03-30,313,313,,,,pm25
London,2010-03-30,38,38,16.0,33.0,4.4,pm25
New York,2010-03-30,33,33,,,,pm25
Delhi,2010-03-31,313,313,,,,pm25
London,2010-03-31,38,38,16.0,33.0,4.4,pm25
New York,2010-03-31,33,33,,,,pm25
Delhi,2010-04-01,313,313,,,,pm25
London,2010-04-01,38,38,16.0,33.0,4.4,pm25
New York,2010-04-01,33,33,,,,pm25
Delhi,2010-04-02,313,313,,,,pm25
London,2010-04-02,38,38,16.0,33.0,4.4,pm25
New York,2010-04-02,33,33,,,,pm25
Delhi,2010-04-03,313,313,,,,pm25
London,2010-04-03,38,38,16.0,33.0,4.4,pm25
New York,2010-04-03,33,33,,,,pm25
Delhi,2010-04-04,313,313,,,,pm25
London,2010-04-04,38,38,16.0,33.0,4.4,pm25
New York,2010-04-04,33,33,,,,pm25
Delhi,2010-04-05,313,313,,,,pm25
London,2010-04-05,38,38,16.0,33.0,4.4,pm25
New York,2010-04-05,33,33,,,,pm25
Delhi,2010-04-06,313,313,,,,pm25
London,2010-04-06,38,38,16.0,33.0,4.4,pm25
New York,2010-04-06,33,33,,,,pm25
Delhi,2010-04-07,313,313,,,,pm25
London,2010-04-07,38,38,16.0,33.0,4.4,pm25
New York,2010-04-07,33,33,,,,pm25
Delhi,2010-04-08,313,313,,,,pm25
London,2010-04-08,38,38,16.0,33.0,4.4,pm25
New York,2010-04-08,33,33,,,,pm25
Delhi,2010-04-09,313,313,,,,pm25
London,2010-04-09,38,38,16.0,33.0,4.4,pm25
New York,2010-04-09,33,33,,,,pm25
Delhi,2010-04-10,313,313,,,,pm25
London,2010-04-10,38,38,16.0,33.0,4.4,pm25
New York,2010-04-10,33,33,,,,pm25
Delhi,2010-04-11,313,313,,,,pm25
London,2010-04-11,38,38,16.0,33.0,4.4,pm25
New York,2010-04-11,33,33,,,,pm25
Delhi,2010-04-12,313,313,,,,pm25
London,2010-04-12,38,38,16.0,33.0,4.4,pm25
New York,2010-04-12,33,33,,,,pm25
Delhi,2010-04-13,313,313,,,,pm25
London,2010-04-13,38,38,16.0,33.0,4.4,pm25
New York,2010-04-13,33,33,,,,pm25
Delhi,2010-04-14,313,313,,,,pm25
London,2010-04-14,38,38,16.0,33.0,4.4,pm25
New York,2010-04-14,33,33,,,,pm25
Delhi,2010-04-15,313,313,,,,pm25
London,2010-04-15,38,38,16.0,33.0,4.4,pm25
New York,2010-04-15,33,33,,,,pm25
Delhi,2010-04-16,313,313,,,,pm25
London,2010-04-16,38,38,16.0,33.0,4.4,pm25
New York,2010-04-16,33,33,,,,pm25
Delhi,2010-04-17,313,313,,,,pm25
London,2010-04-17,38,38,16.0,33.0,4.4,pm25
New York,2010-04-17,33,33,,,,pm25
Delhi,2010-04-18,313,313,,,,pm25
London,2010-04-18,38,38,16.0,33.0,4.4,pm25
New York,2010-04-18,33,33,,,,pm25
Delhi,2010-04-19,313,313,,,,pm25
